PRODUTO;Coleção;Preço;Corredor;Prateleira;QTDE_CONTAGEM;U;33;34;35;36;37;38;39;40;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;DESC_COR_PRODUTO
38725;;;;;37;0;0;4;7;7;6;6;6;1;TAMANCO DUDA COURO VEGETAL SEDA KARYBY 1;CALCADOS                 ;TAMANCO                  ;PRETA                                   
38725;;;;;16;0;0;5;1;1;4;4;0;1;TAMANCO DUDA COURO VEGETAL SEDA KARYBY 1;CALCADOS                 ;TAMANCO                  ;CAMEL                                   
38725;;;;;16;0;0;1;5;4;2;3;1;0;TAMANCO DUDA COURO VEGETAL SEDA KARYBY 1;CALCADOS                 ;TAMANCO                  ;CORAL                                   
38725;;;;;1;0;0;0;0;0;0;0;1;0;TAMANCO DUDA COURO VEGETAL SEDA KARYBY 1;CALCADOS                 ;TAMANCO                  ;PINHA                                   
38725;;;;;5;0;0;0;2;0;1;1;1;0;TAMANCO DUDA COURO VEGETAL SEDA KARYBY 1;CALCADOS                 ;TAMANCO                  ;COTTON                                  
38728;;;;;2;2;0;0;0;0;0;0;0;0;BOLSA COURO M COURO NAPA LORENA 7323    ;BOLSAS                   ;BOLSA COURO M            ;PRETA                                   
38749;;;;;1;0;0;0;0;0;0;0;1;0;ANABELA SULA CAMURCAO KARYBY 7386572    ;CALCADOS                 ;ANABELA                  ;PRETA                                   
38749;;;;;2;0;0;0;0;0;1;1;0;0;ANABELA SULA CAMURCAO KARYBY 7386572    ;CALCADOS                 ;ANABELA                  ;CAMEL                                   
38782;;;;;1;1;0;0;0;0;0;0;0;0;CARTEIRA FLOATER YEGGUS CA2369M         ;ACESSORIOS               ;CARTEIRA                 ;PRETA                                   
38783;;;;;1;1;0;0;0;0;0;0;0;0;PORTA CARTAO FLOATER YEGGUS PC2270      ;ACESSORIOS               ;PORTA CARTAO             ;PRETO BRANCO                            
38785;;;;;2;2;0;0;0;0;0;0;0;0;PORTA NIQUEL FLOATER YEGGUS PN2473      ;ACESSORIOS               ;PORTA NIQUEL             ;PINK                                    
38886;;;;;2;2;0;0;0;0;0;0;0;0;BOLSA SINT M FLOATER SEMAX SDP123       ;BOLSAS                   ;BOLSA SINT M             ;CAMEL                                   
38903;;;;;2;2;0;0;0;0;0;0;0;0;CARTEIRA COURO FLOATER ANVER SNP130010  ;ACESSORIOS               ;CARTEIRA                 ;CAMEL                                   
38907;;;;;1;1;0;0;0;0;0;0;0;0;CARTEIRA COURO FLOATER ANVER SNP130003  ;ACESSORIOS               ;CARTEIRA                 ;PRETA                                   
38907;;;;;5;5;0;0;0;0;0;0;0;0;CARTEIRA COURO FLOATER ANVER SNP130003  ;ACESSORIOS               ;CARTEIRA                 ;CAMEL                                   
38912;;;;;1;1;0;0;0;0;0;0;0;0;RASTEIRA TRASEIRO MARI NAPA CORDAO EMP G;CALCADOS                 ;RASTEIRA TRASEIRO        ;PRETA                                   
38964;;;;;1;1;0;0;0;0;0;0;0;0;RASTEIRA CHINELO EVELYN NAPA 1200591 MAS;CALCADOS                 ;RASTEIRA CHINELO         ;BISCUIT                                 
38965;;;;;6;0;0;1;1;1;2;1;0;0;SANDALIA ALTA LUCIANA NAPA PARABELLA 860;CALCADOS                 ;SANDALIA ALTA            ;PRETA                                   
38965;;;;;5;0;0;1;1;1;1;1;0;0;SANDALIA ALTA LUCIANA NAPA PARABELLA 860;CALCADOS                 ;SANDALIA ALTA            ;BISCUIT                                 
38965;;;;;4;1;0;1;1;1;0;0;0;0;SANDALIA ALTA LUCIANA NAPA PARABELLA 860;CALCADOS                 ;SANDALIA ALTA            ;COTTON                                  
38970;;;;;1;0;0;0;0;0;0;0;1;0;SCARPIN SOPHIA NAPA SONATA BEBECE 704156;CALCADOS                 ;SCARPIN                  ;BISCUIT                                 
39013;;;;;1;1;0;0;0;0;0;0;0;0;BOLSA COURO M COURO 319 FEGALLY         ;BOLSAS                   ;BOLSA COURO M            ;PRETA                                   
39013;;;;;1;1;0;0;0;0;0;0;0;0;BOLSA COURO M COURO 319 FEGALLY         ;BOLSAS                   ;BOLSA COURO M            ;CAMEL                                   
39013;;;;;1;1;0;0;0;0;0;0;0;0;BOLSA COURO M COURO 319 FEGALLY         ;BOLSAS                   ;BOLSA COURO M            ;CORAL                                   
39013;;;;;1;1;0;0;0;0;0;0;0;0;BOLSA COURO M COURO 319 FEGALLY         ;BOLSAS                   ;BOLSA COURO M            ;FUCSIA                                  
39065;;;;;8;0;0;0;0;0;1;7;0;0;SANDALIA ALTA LIDI NAPA DAMMA 4912209   ;CALCADOS                 ;SANDALIA ALTA            ;PRETA                                   
39065;;;;;1;0;0;0;0;0;1;0;0;0;SANDALIA ALTA LIDI NAPA DAMMA 4912209   ;CALCADOS                 ;SANDALIA ALTA            ;CASCA                                   
39065;;;;;1;0;0;0;0;0;0;1;0;0;SANDALIA ALTA LIDI NAPA DAMMA 4912209   ;CALCADOS                 ;SANDALIA ALTA            ;COTTON                                  
39117;;;;;1;0;0;0;1;0;0;0;0;0;RASTEIRA TRASEIRO ISIS PVC MANTA NAPA RI;CALCADOS                 ;RASTEIRA TRASEIRO        ;CARAMELO OURO                           
39117;;;;;1;0;0;0;0;0;1;0;0;0;RASTEIRA TRASEIRO ISIS PVC MANTA NAPA RI;CALCADOS                 ;RASTEIRA TRASEIRO        ;MARFIM CRISTAL                          
39117;;;;;5;0;0;0;1;0;3;0;1;0;RASTEIRA TRASEIRO ISIS PVC MANTA NAPA RI;CALCADOS                 ;RASTEIRA TRASEIRO        ;MARFIM LIGHT PEACH                      
39175;;;;;2;2;0;0;0;0;0;0;0;0;CINTO COURO SEMICROMO 598 PORTO MAGGIORE;ACESSORIOS               ;CINTO                    ;PRETA                                   
39175;;;;;3;3;0;0;0;0;0;0;0;0;CINTO COURO SEMICROMO 598 PORTO MAGGIORE;ACESSORIOS               ;CINTO                    ;CARAMELO                                
